     4	   48	bolo_geom_174240.dat	 4-May-2018 23:11:17
 m	m	m	m
 RSTART	ZSTART	  REND	  ZEND
  2.350E+00	 7.299E-01	 2.338E+00	-4.578E-01
  2.350E+00	 7.299E-01	 2.242E+00	-6.998E-01
  2.350E+00	 7.299E-01	 2.106E+00	-9.894E-01
  2.350E+00	 7.299E-01	 1.973E+00	-1.066E+00
  2.350E+00	 7.299E-01	 1.824E+00	-1.152E+00
  2.350E+00	 7.299E-01	 1.664E+00	-1.250E+00
  2.350E+00	 7.299E-01	 1.545E+00	-1.250E+00
  2.350E+00	 7.299E-01	 1.422E+00	-1.250E+00
  2.350E+00	 7.299E-01	 1.231E+00	-1.363E+00
  2.350E+00	 7.299E-01	 1.111E+00	-1.321E+00
  2.350E+00	 7.299E-01	 1.022E+00	-1.229E+00
  2.350E+00	 7.299E-01	 1.016E+00	-1.031E+00
  2.350E+00	 7.299E-01	 1.016E+00	-7.510E-01
  2.350E+00	 7.299E-01	 1.016E+00	-4.392E-01
  2.350E+00	 7.299E-01	 1.016E+00	-1.867E-01
  2.311E+00	 8.226E-01	 1.016E+00	 1.270E-01
  2.311E+00	 8.226E-01	 1.016E+00	 3.224E-01
  2.311E+00	 8.226E-01	 1.016E+00	 4.990E-01
  2.311E+00	 8.226E-01	 1.016E+00	 6.481E-01
  2.311E+00	 8.226E-01	 1.016E+00	 7.732E-01
  2.311E+00	 8.226E-01	 1.016E+00	 8.975E-01
  2.311E+00	 8.226E-01	 1.016E+00	 1.023E+00
  2.311E+00	 8.226E-01	 1.015E+00	 1.153E+00
  2.311E+00	 8.226E-01	 1.508E+00	 1.112E+00
  2.319E+00	-7.725E-01	 1.603E+00	-1.250E+00
  2.319E+00	-7.725E-01	 1.498E+00	-1.250E+00
  2.319E+00	-7.725E-01	 1.150E+00	-1.360E+00
  2.319E+00	-7.725E-01	 1.090E+00	-1.299E+00
  2.319E+00	-7.725E-01	 1.027E+00	-1.235E+00
  2.319E+00	-7.725E-01	 1.016E+00	-1.108E+00
  2.319E+00	-7.725E-01	 1.016E+00	-9.427E-01
  2.319E+00	-7.725E-01	 1.016E+00	-7.825E-01
  2.319E+00	-7.725E-01	 1.016E+00	-6.222E-01
  2.319E+00	-7.725E-01	 1.016E+00	-4.578E-01
  2.319E+00	-7.725E-01	 1.016E+00	-2.836E-01
  2.349E+00	-6.688E-01	 1.016E+00	-7.406E-02
  2.349E+00	-6.688E-01	 1.016E+00	 1.251E-01
  2.349E+00	-6.688E-01	 1.016E+00	 3.572E-01
  2.349E+00	-6.688E-01	 1.016E+00	 6.287E-01
  2.349E+00	-6.688E-01	 1.016E+00	 9.429E-01
  2.349E+00	-6.688E-01	 1.016E+00	 1.127E+00
  2.349E+00	-6.688E-01	 1.129E+00	 1.168E+00
  2.349E+00	-6.688E-01	 1.230E+00	 1.224E+00
  2.349E+00	-6.688E-01	 1.392E+00	 1.162E+00
  2.349E+00	-6.688E-01	 1.537E+00	 1.106E+00
  2.349E+00	-6.688E-01	 1.658E+00	 1.077E+00
  2.349E+00	-6.688E-01	 1.762E+00	 1.077E+00
  2.349E+00	-6.688E-01	 1.987E+00	 1.051E+00
