     4	  200	bolo_geom_174240.dat	 4-May-2018 23:01:07
 m	m	m	m
 RSTART	ZSTART	  REND	  ZEND
  2.350E+00	 7.299E-01	 2.350E+00	-2.290E-01
  2.350E+00	 7.299E-01	 2.322E+00	-4.952E-01
  2.350E+00	 7.299E-01	 2.292E+00	-5.725E-01
  2.350E+00	 7.299E-01	 2.257E+00	-6.605E-01
  2.350E+00	 7.299E-01	 2.217E+00	-7.614E-01
  2.350E+00	 7.299E-01	 2.171E+00	-8.787E-01
  2.350E+00	 7.299E-01	 2.122E+00	-9.802E-01
  2.350E+00	 7.299E-01	 2.079E+00	-1.005E+00
  2.350E+00	 7.299E-01	 2.035E+00	-1.030E+00
  2.350E+00	 7.299E-01	 1.990E+00	-1.056E+00
  2.350E+00	 7.299E-01	 1.942E+00	-1.084E+00
  2.350E+00	 7.299E-01	 1.893E+00	-1.112E+00
  2.350E+00	 7.299E-01	 1.842E+00	-1.142E+00
  2.350E+00	 7.299E-01	 1.788E+00	-1.173E+00
  2.350E+00	 7.299E-01	 1.717E+00	-1.250E+00
  2.350E+00	 7.299E-01	 1.669E+00	-1.250E+00
  2.350E+00	 7.299E-01	 1.619E+00	-1.250E+00
  2.350E+00	 7.299E-01	 1.569E+00	-1.250E+00
  2.350E+00	 7.299E-01	 1.518E+00	-1.250E+00
  2.350E+00	 7.299E-01	 1.466E+00	-1.250E+00
  2.350E+00	 7.299E-01	 1.413E+00	-1.250E+00
  2.350E+00	 7.299E-01	 1.303E+00	-1.363E+00
  2.350E+00	 7.299E-01	 1.244E+00	-1.363E+00
  2.350E+00	 7.299E-01	 1.185E+00	-1.363E+00
  2.350E+00	 7.299E-01	 1.134E+00	-1.344E+00
  2.350E+00	 7.299E-01	 1.096E+00	-1.305E+00
  2.350E+00	 7.299E-01	 1.058E+00	-1.266E+00
  2.350E+00	 7.299E-01	 1.021E+00	-1.228E+00
  2.350E+00	 7.299E-01	 1.016E+00	-1.145E+00
  2.350E+00	 7.299E-01	 1.016E+00	-1.060E+00
  2.350E+00	 7.299E-01	 1.016E+00	-9.794E-01
  2.350E+00	 7.299E-01	 1.016E+00	-9.037E-01
  2.350E+00	 7.299E-01	 1.016E+00	-8.320E-01
  2.350E+00	 7.299E-01	 1.016E+00	-7.639E-01
  2.350E+00	 7.299E-01	 1.016E+00	-6.991E-01
  2.350E+00	 7.299E-01	 1.016E+00	-6.373E-01
  2.350E+00	 7.299E-01	 1.016E+00	-5.782E-01
  2.350E+00	 7.299E-01	 1.016E+00	-5.217E-01
  2.350E+00	 7.299E-01	 1.016E+00	-4.674E-01
  2.350E+00	 7.299E-01	 1.016E+00	-4.152E-01
  2.350E+00	 7.299E-01	 1.016E+00	-3.650E-01
  2.350E+00	 7.299E-01	 1.016E+00	-3.166E-01
  2.350E+00	 7.299E-01	 1.016E+00	-2.698E-01
  2.350E+00	 7.299E-01	 1.016E+00	-2.245E-01
  2.350E+00	 7.299E-01	 1.016E+00	-1.807E-01
  2.350E+00	 7.299E-01	 1.016E+00	-1.381E-01
  2.350E+00	 7.299E-01	 1.016E+00	-9.679E-02
  2.350E+00	 7.299E-01	 1.016E+00	-5.657E-02
  2.350E+00	 7.299E-01	 1.016E+00	-1.738E-02
  2.350E+00	 7.299E-01	 1.016E+00	 2.085E-02
  2.341E+00	 8.226E-01	 1.016E+00	 3.139E-01
  2.341E+00	 8.226E-01	 1.016E+00	 3.359E-01
  2.341E+00	 8.226E-01	 1.016E+00	 3.578E-01
  2.341E+00	 8.226E-01	 1.016E+00	 3.794E-01
  2.341E+00	 8.226E-01	 1.016E+00	 4.008E-01
  2.341E+00	 8.226E-01	 1.016E+00	 4.220E-01
  2.341E+00	 8.226E-01	 1.016E+00	 4.431E-01
  2.341E+00	 8.226E-01	 1.016E+00	 4.639E-01
  2.341E+00	 8.226E-01	 1.016E+00	 4.846E-01
  2.341E+00	 8.226E-01	 1.016E+00	 5.052E-01
  2.341E+00	 8.226E-01	 1.016E+00	 5.256E-01
  2.341E+00	 8.226E-01	 1.016E+00	 5.458E-01
  2.341E+00	 8.226E-01	 1.016E+00	 5.660E-01
  2.341E+00	 8.226E-01	 1.016E+00	 5.860E-01
  2.341E+00	 8.226E-01	 1.016E+00	 6.059E-01
  2.341E+00	 8.226E-01	 1.016E+00	 6.257E-01
  2.341E+00	 8.226E-01	 1.016E+00	 6.455E-01
  2.341E+00	 8.226E-01	 1.016E+00	 6.651E-01
  2.341E+00	 8.226E-01	 1.016E+00	 6.847E-01
  2.341E+00	 8.226E-01	 1.016E+00	 7.043E-01
  2.341E+00	 8.226E-01	 1.016E+00	 7.238E-01
  2.341E+00	 8.226E-01	 1.016E+00	 7.432E-01
  2.341E+00	 8.226E-01	 1.016E+00	 7.626E-01
  2.341E+00	 8.226E-01	 1.016E+00	 7.820E-01
  2.341E+00	 8.226E-01	 1.016E+00	 8.014E-01
  2.341E+00	 8.226E-01	 1.016E+00	 8.207E-01
  2.341E+00	 8.226E-01	 1.016E+00	 8.401E-01
  2.341E+00	 8.226E-01	 1.016E+00	 8.594E-01
  2.341E+00	 8.226E-01	 1.016E+00	 8.788E-01
  2.341E+00	 8.226E-01	 1.016E+00	 8.982E-01
  2.341E+00	 8.226E-01	 1.016E+00	 9.177E-01
  2.341E+00	 8.226E-01	 1.016E+00	 9.371E-01
  2.341E+00	 8.226E-01	 1.016E+00	 9.567E-01
  2.341E+00	 8.226E-01	 1.016E+00	 9.762E-01
  2.341E+00	 8.226E-01	 1.016E+00	 9.959E-01
  2.341E+00	 8.226E-01	 1.016E+00	 1.016E+00
  2.341E+00	 8.226E-01	 1.016E+00	 1.035E+00
  2.341E+00	 8.226E-01	 1.016E+00	 1.055E+00
  2.341E+00	 8.226E-01	 1.016E+00	 1.075E+00
  2.341E+00	 8.226E-01	 1.016E+00	 1.095E+00
  2.341E+00	 8.226E-01	 1.016E+00	 1.116E+00
  2.341E+00	 8.226E-01	 1.016E+00	 1.136E+00
  2.341E+00	 8.226E-01	 1.014E+00	 1.157E+00
  2.341E+00	 8.226E-01	 1.069E+00	 1.163E+00
  2.341E+00	 8.226E-01	 1.124E+00	 1.167E+00
  2.341E+00	 8.226E-01	 1.162E+00	 1.175E+00
  2.341E+00	 8.226E-01	 1.187E+00	 1.186E+00
  2.341E+00	 8.226E-01	 1.205E+00	 1.199E+00
  2.341E+00	 8.226E-01	 1.512E+00	 1.111E+00
  2.341E+00	 8.226E-01	 1.589E+00	 1.096E+00
  2.319E+00	-7.725E-01	 1.584E+00	-1.250E+00
  2.319E+00	-7.725E-01	 1.552E+00	-1.250E+00
  2.319E+00	-7.725E-01	 1.519E+00	-1.250E+00
  2.319E+00	-7.725E-01	 1.484E+00	-1.250E+00
  2.319E+00	-7.725E-01	 1.446E+00	-1.250E+00
  2.319E+00	-7.725E-01	 1.405E+00	-1.250E+00
  2.319E+00	-7.725E-01	 1.147E+00	-1.357E+00
  2.319E+00	-7.725E-01	 1.129E+00	-1.338E+00
  2.319E+00	-7.725E-01	 1.110E+00	-1.319E+00
  2.319E+00	-7.725E-01	 1.092E+00	-1.300E+00
  2.319E+00	-7.725E-01	 1.073E+00	-1.281E+00
  2.319E+00	-7.725E-01	 1.053E+00	-1.261E+00
  2.319E+00	-7.725E-01	 1.034E+00	-1.241E+00
  2.319E+00	-7.725E-01	 1.016E+00	-1.220E+00
  2.319E+00	-7.725E-01	 1.016E+00	-1.192E+00
  2.319E+00	-7.725E-01	 1.016E+00	-1.165E+00
  2.319E+00	-7.725E-01	 1.016E+00	-1.139E+00
  2.319E+00	-7.725E-01	 1.016E+00	-1.112E+00
