     2	  118	efit_wall_174240.dat	 7-May-2018 11:00:05
 m	m
   RLIM	  ZLIM
  1.016E+00	 0.000E+00
  1.016E+00	 9.640E-01
  1.016E+00	 9.680E-01
  1.016E+00	 1.001E+00
  1.016E+00	 1.019E+00
  1.016E+00	 1.077E+00
  1.016E+00	 1.070E+00
  1.016E+00	 1.096E+00
  1.016E+00	 1.113E+00
  1.016E+00	 1.138E+00
  1.016E+00	 1.147E+00
  1.012E+00	 1.165E+00
  1.001E+00	 1.217E+00
  1.029E+00	 1.217E+00
  1.042E+00	 1.162E+00
  1.046E+00	 1.162E+00
  1.056E+00	 1.163E+00
  1.097E+00	 1.164E+00
  1.108E+00	 1.166E+00
  1.116E+00	 1.166E+00
  1.134E+00	 1.169E+00
  1.148E+00	 1.172E+00
  1.162E+00	 1.176E+00
  1.181E+00	 1.183E+00
  1.182E+00	 1.184E+00
  1.185E+00	 1.185E+00
  1.190E+00	 1.188E+00
  1.195E+00	 1.191E+00
  1.201E+00	 1.196E+00
  1.209E+00	 1.202E+00
  1.215E+00	 1.208E+00
  1.222E+00	 1.214E+00
  1.228E+00	 1.221E+00
  1.234E+00	 1.231E+00
  1.239E+00	 1.238E+00
  1.242E+00	 1.244E+00
  1.248E+00	 1.254E+00
  1.258E+00	 1.278E+00
  1.263E+00	 1.290E+00
  1.280E+00	 1.331E+00
  1.280E+00	 1.347E+00
  1.280E+00	 1.348E+00
  1.310E+00	 1.348E+00
  1.328E+00	 1.348E+00
  1.361E+00	 1.348E+00
  1.380E+00	 1.348E+00
  1.419E+00	 1.348E+00
  1.419E+00	 1.310E+00
  1.372E+00	 1.310E+00
  1.372E+00	 1.292E+00
  1.370E+00	 1.283E+00
  1.367E+00	 1.256E+00
  1.367E+00	 1.230E+00
  1.372E+00	 1.196E+00
  1.372E+00	 1.194E+00
  1.387E+00	 1.165E+00
  1.387E+00	 1.164E+00
  1.404E+00	 1.157E+00
  1.411E+00	 1.157E+00
  1.419E+00	 1.161E+00
  1.421E+00	 1.164E+00
  1.487E+00	 1.240E+00
  1.497E+00	 1.235E+00
  1.498E+00	 1.234E+00
  1.497E+00	 1.232E+00
  1.493E+00	 1.213E+00
  1.493E+00	 1.211E+00
  1.493E+00	 1.205E+00
  1.493E+00	 1.202E+00
  1.493E+00	 1.196E+00
  1.495E+00	 1.185E+00
  1.496E+00	 1.161E+00
  1.480E+00	 1.124E+00
  1.481E+00	 1.123E+00
  1.481E+00	 1.121E+00
  1.486E+00	 1.117E+00
  1.491E+00	 1.114E+00
  1.503E+00	 1.112E+00
  1.597E+00	 1.095E+00
  1.625E+00	 1.085E+00
  1.638E+00	 1.080E+00
  1.647E+00	 1.077E+00
  1.785E+00	 1.077E+00
  2.070E+00	 1.040E+00
  2.128E+00	 9.930E-01
  2.245E+00	 7.090E-01
  2.340E+00	 4.614E-01
  2.347E+00	 4.158E-01
  2.349E+00	 2.722E-01
  2.351E+00	 1.702E-01
  2.352E+00	 7.012E-02
  2.351E+00	-3.179E-02
  2.351E+00	-1.444E-01
  2.350E+00	-2.148E-01
  2.349E+00	-3.267E-01
  2.348E+00	-3.868E-01
  2.340E+00	-4.530E-01
  2.329E+00	-4.776E-01
  2.134E+00	-9.730E-01
  1.786E+00	-1.174E+00
  1.768E+00	-1.211E+00
  1.768E+00	-1.250E+00
  1.682E+00	-1.250E+00
  1.372E+00	-1.250E+00
  1.372E+00	-1.329E+00
  1.420E+00	-1.329E+00
  1.420E+00	-1.363E+00
  1.273E+00	-1.363E+00
  1.153E+00	-1.363E+00
  1.016E+00	-1.223E+00
  1.016E+00	-1.223E+00
  1.016E+00	-8.300E-01
  1.016E+00	-8.000E-01
  1.016E+00	-4.150E-01
  1.016E+00	-4.000E-01
  1.016E+00	-1.000E-03
  1.016E+00	 0.000E+00
  1.016E+00	 0.000E+00
