     4	   20	divspred_geom_174240.dat	 5-May-2018 10:59:58
  1.485E+00	 1.400E+00	 1.485E+00	-1.250E+00
 m	m	m	m
 RSTART	ZSTART	  REND	  ZEND
  1.375E+00	 1.400E+00	 1.375E+00	-1.250E+00
  1.395E+00	 1.400E+00	 1.395E+00	-1.250E+00
  1.416E+00	 1.400E+00	 1.416E+00	-1.250E+00
  1.436E+00	 1.400E+00	 1.436E+00	-1.250E+00
  1.456E+00	 1.400E+00	 1.456E+00	-1.250E+00
  1.476E+00	 1.400E+00	 1.476E+00	-1.250E+00
  1.497E+00	 1.400E+00	 1.497E+00	-1.250E+00
  1.517E+00	 1.400E+00	 1.517E+00	-1.250E+00
  1.537E+00	 1.400E+00	 1.537E+00	-1.250E+00
  1.557E+00	 1.400E+00	 1.557E+00	-1.250E+00
  1.578E+00	 1.400E+00	 1.578E+00	-1.250E+00
  1.598E+00	 1.400E+00	 1.598E+00	-1.250E+00
  1.618E+00	 1.400E+00	 1.618E+00	-1.250E+00
  1.638E+00	 1.400E+00	 1.638E+00	-1.250E+00
  1.659E+00	 1.400E+00	 1.659E+00	-1.250E+00
  1.679E+00	 1.400E+00	 1.679E+00	-1.250E+00
  1.699E+00	 1.400E+00	 1.699E+00	-1.250E+00
  1.719E+00	 1.400E+00	 1.719E+00	-1.250E+00
  1.740E+00	 1.400E+00	 1.740E+00	-1.250E+00
  1.760E+00	 1.400E+00	 1.760E+00	-1.250E+00
