     4	   18	fs_geom_174240.dat	 6-May-2018 14:52:38
 m	m	m	m
 RSTART	ZSTART	  REND	  ZEND
  2.025E+00	 1.493E+00	 1.016E+00	-1.114E+00
  2.025E+00	 1.493E+00	 1.048E+00	-1.253E+00
  2.025E+00	 1.493E+00	 1.222E+00	-1.366E+00
  2.025E+00	 1.493E+00	 1.305E+00	-1.366E+00
  2.025E+00	 1.493E+00	 1.346E+00	-1.366E+00
  2.025E+00	 1.493E+00	 1.489E+00	-1.253E+00
  2.025E+00	 1.493E+00	 1.600E+00	-1.253E+00
  2.025E+00	 1.493E+00	 1.111E+00	-1.315E+00
  2.025E+00	 1.493E+00	 1.143E+00	-1.348E+00
  2.161E+00	-1.585E+00	 1.014E+00	 6.180E-01
  2.161E+00	-1.585E+00	 1.014E+00	 8.600E-01
  2.161E+00	-1.585E+00	 1.014E+00	 1.144E+00
  2.161E+00	-1.585E+00	 1.147E+00	 1.183E+00
  2.161E+00	-1.585E+00	 1.259E+00	 1.301E+00
  2.161E+00	-1.585E+00	 1.409E+00	 1.261E+00
  2.161E+00	-1.585E+00	 1.544E+00	 1.148E+00
  2.161E+00	-1.585E+00	 1.696E+00	 1.077E+00
  2.610E+00	-1.400E-01	 1.016E+00	-1.400E-01
