     4	   20	fs_geom_174240.dat	 6-May-2018 14:51:19
 m	m	m	m
 RSTART	ZSTART	  REND	  ZEND
  2.025E+00	 1.493E+00	 1.016E+00	-1.114E+00
  2.025E+00	 1.493E+00	 1.017E+00	-1.224E+00
  2.025E+00	 1.493E+00	 1.049E+00	-1.257E+00
  2.025E+00	 1.493E+00	 1.081E+00	-1.290E+00
  2.025E+00	 1.493E+00	 1.114E+00	-1.323E+00
  2.025E+00	 1.493E+00	 1.147E+00	-1.357E+00
  2.025E+00	 1.493E+00	 1.189E+00	-1.363E+00
  2.025E+00	 1.493E+00	 1.233E+00	-1.363E+00
  2.025E+00	 1.493E+00	 1.276E+00	-1.363E+00
  2.025E+00	 1.493E+00	 1.319E+00	-1.363E+00
  2.025E+00	 1.493E+00	 1.388E+00	-1.250E+00
  2.025E+00	 1.493E+00	 1.429E+00	-1.250E+00
  2.025E+00	 1.493E+00	 1.469E+00	-1.250E+00
  2.025E+00	 1.493E+00	 1.509E+00	-1.250E+00
  2.025E+00	 1.493E+00	 1.549E+00	-1.250E+00
  2.025E+00	 1.493E+00	 1.589E+00	-1.250E+00
  2.025E+00	 1.493E+00	 1.629E+00	-1.250E+00
  2.025E+00	 1.493E+00	 1.668E+00	-1.250E+00
  2.025E+00	 1.493E+00	 1.707E+00	-1.250E+00
  2.025E+00	 1.493E+00	 1.746E+00	-1.250E+00
