     4	   15	mds_geom_174240.dat	 5-May-2018 11:28:12
 m	m	m	m
 RSTART	ZSTART	  REND	  ZEND
  2.082E+00	 1.495E+00	 1.014E+00	-1.023E+00
  2.082E+00	 1.495E+00	 1.040E+00	-1.255E+00
  2.082E+00	 1.495E+00	 1.169E+00	-1.366E+00
  2.082E+00	 1.495E+00	 1.317E+00	-1.366E+00
  2.082E+00	 1.495E+00	 1.486E+00	-1.253E+00
  2.082E+00	 1.495E+00	 1.622E+00	-1.253E+00
  2.082E+00	 1.495E+00	 1.740E+00	-1.253E+00
  2.161E+00	-1.585E+00	 1.014E+00	 8.400E-01
  2.161E+00	-1.585E+00	 1.014E+00	 1.133E+00
  2.161E+00	-1.585E+00	 1.116E+00	 1.177E+00
  2.161E+00	-1.585E+00	 1.216E+00	 1.226E+00
  2.161E+00	-1.585E+00	 1.324E+00	 1.352E+00
  2.161E+00	-1.585E+00	 1.478E+00	 1.203E+00
  2.161E+00	-1.585E+00	 1.611E+00	 1.093E+00
  2.610E+00	-1.400E-01	 1.014E+00	-1.400E-01
