     4	   20	mds_geom_174240.dat	 5-May-2018 11:02:24
 m	m	m	m
 RSTART	ZSTART	  REND	  ZEND
  2.082E+00	 1.495E+00	 1.016E+00	-1.018E+00
  2.082E+00	 1.495E+00	 1.016E+00	-1.124E+00
  2.082E+00	 1.495E+00	 1.020E+00	-1.227E+00
  2.082E+00	 1.495E+00	 1.053E+00	-1.261E+00
  2.082E+00	 1.495E+00	 1.086E+00	-1.295E+00
  2.082E+00	 1.495E+00	 1.120E+00	-1.330E+00
  2.082E+00	 1.495E+00	 1.155E+00	-1.363E+00
  2.082E+00	 1.495E+00	 1.201E+00	-1.363E+00
  2.082E+00	 1.495E+00	 1.247E+00	-1.363E+00
  2.082E+00	 1.495E+00	 1.292E+00	-1.363E+00
  2.082E+00	 1.495E+00	 1.336E+00	-1.363E+00
  2.082E+00	 1.495E+00	 1.409E+00	-1.250E+00
  2.082E+00	 1.495E+00	 1.451E+00	-1.250E+00
  2.082E+00	 1.495E+00	 1.493E+00	-1.250E+00
  2.082E+00	 1.495E+00	 1.535E+00	-1.250E+00
  2.082E+00	 1.495E+00	 1.576E+00	-1.250E+00
  2.082E+00	 1.495E+00	 1.618E+00	-1.250E+00
  2.082E+00	 1.495E+00	 1.659E+00	-1.250E+00
  2.082E+00	 1.495E+00	 1.700E+00	-1.250E+00
  2.082E+00	 1.495E+00	 1.740E+00	-1.250E+00
